Latitude	Longitude	Name	Dome Camera	Button Camera	Police Box	Notes	Region	URL
42.3654325	-71.0610519	Causeway and Canal	1		1		West End	https://www.google.com/maps/@42.3654325,-71.0610519,3a,75y,53.63h,93.67t/data=!3m6!1e1!3m4!1s9xagKG9FCdmwSq8Xg7qo7w!2e0!7i16384!8i8192
42.3636822	-71.0583746	New Chardon and John Fitzgerald	1				West End	https://www.google.com/maps/@42.3636822,-71.0583746,3a,75y,355.7h,96.19t/data=!3m7!1e1!3m5!1snmOh7Bj1GapI1urKe8KSjA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DnmOh7Bj1GapI1urKe8KSjA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D250.93813%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192
42.3322297	-71.0716051	Mass Ave and Gerard		3	1		Roxbury	https://www.google.com/maps/@42.3322297,-71.0716051,3a,53y,350.49h,100.76t/data=!3m6!1e1!3m4!1sWJBBWo08ZjD2LZJST9edzw!2e0!7i16384!8i8192
42.3306241	-71.0700581	Mass Ave and Chesterton		1	1		Roxbury	https://www.google.com/maps/@42.3306241,-71.0700581,3a,41.4y,91.05h,105.56t/data=!3m6!1e1!3m4!1sDZmhJ9Za3xQLmeNlBGmzdA!2e0!7i16384!8i8192
42.3268348	-71.0669356	Mass Ave and Newmarket	1				Roxbury	https://www.google.com/maps/@42.3268348,-71.0669356,3a,75y,155.09h,97.59t/data=!3m6!1e1!3m4!1sjPdkOh-J7uZPLcyCYXxY4g!2e0!7i16384!8i8192
42.3214676	-71.0722463	Dudley and W Cottage	1		1		Roxbury	https://www.google.com/maps/@42.3214676,-71.0722463,3a,37.7y,278.06h,119.24t/data=!3m6!1e1!3m4!1s1UvzG4KQVRVvaOUI5K50GA!2e0!7i16384!8i8192
42.3194917	-71.0706539	Dudley and Folsom	1		1		Roxbury	https://www.google.com/maps/@42.3194917,-71.0706539,3a,75y,154.78h,101.02t/data=!3m6!1e1!3m4!1sbdBkslAVbmATfmnzY2lAvw!2e0!7i16384!8i8192
42.3284971	-71.0793342	Dudley and Mt Pleasant	1		1		Roxbury	https://www.google.com/maps/@42.3284971,-71.0793342,3a,15.7y,339.01h,96.95t/data=!3m6!1e1!3m4!1s0Oeyf5cpGRJIrwB8gCZ27A!2e0!7i16384!8i8192
42.3177928	-71.0820484	Warren and MLK Jr	1	1	1		Roxbury	https://www.google.com/maps/@42.3177928,-71.0820484,3a,29.1y,74h,106.48t/data=!3m6!1e1!3m4!1suvp6YIgX1G6kk6iZkfT3ew!2e0!7i16384!8i8192
42.3168748	-71.0827258	Warren 1	2		1		Roxbury	https://www.google.com/maps/@42.3168748,-71.0827258,3a,39.9y,258.91h,99.89t/data=!3m6!1e1!3m4!1svsuwBbhu_mJjia9wW65drg!2e0!7i16384!8i8192
